age,monthly_income,loan_amount,loan_term_months,credit_score,num_late_payments,default
56,72733,129862,36,737,2,0
46,85318,235229,24,417,2,1
32,174736,123834,24,605,5,0
60,87172,98848,6,567,1,0
25,113264,57921,36,353,5,0
38,46736,185798,12,535,3,1
56,132859,131141,24,688,0,0
36,132181,186372,24,700,4,1
40,151926,289821,12,602,1,0
28,110084,60609,12,506,0,1
28,189695,232897,24,528,1,1
41,27392,36024,24,374,5,1
53,75680,75313,12,734,2,1
57,197789,189078,24,402,4,0
41,70859,118632,6,721,5,0
20,145657,256451,6,605,0,0
39,177381,8051,12,397,0,0
19,90467,184819,36,634,0,0
41,118506,92235,12,734,0,0
61,129751,202484,12,746,0,0
47,138906,194407,36,607,1,0
55,163760,216810,36,548,5,1
19,45342,208687,36,465,4,0
38,188229,78523,6,780,2,0
50,126308,241175,24,634,2,1
29,126081,99476,6,841,5,1
39,109045,238841,24,405,5,0
61,54698,284163,6,380,2,1
42,130078,227866,24,432,2,1
44,100623,91672,6,437,1,1
59,42671,78847,36,483,3,0
45,176256,215706,12,700,4,0
33,113384,33251,6,629,0,0
32,193179,108481,24,807,3,0
64,106202,30945,36,368,5,0
61,71663,37217,6,845,2,0
20,35708,13308,6,352,3,1
54,111906,273093,36,749,4,0
24,69811,188062,6,504,5,1
38,153883,225552,12,425,0,0
26,76250,105235,6,342,0,0
56,132547,79740,12,410,4,1
35,144249,230913,12,482,4,0
21,54754,284040,36,394,2,0
42,162483,182247,6,673,0,1
31,153983,143877,36,819,5,0
26,159752,10237,6,659,3,0
43,104896,25056,6,580,5,1
19,91295,181615,24,494,1,0
37,120689,192628,6,494,1,1
45,31111,119548,36,392,4,0
64,57504,139415,12,360,2,1
24,152874,34375,6,350,1,0
61,28155,145734,24,702,0,1
25,59384,21964,36,304,5,1
64,132561,118429,6,765,5,0
52,67254,257764,36,833,4,0
31,41918,195710,24,704,3,1
34,105981,221139,24,812,4,0
53,50306,72215,36,532,3,0
57,167718,149356,6,823,4,0
21,66843,208861,12,645,4,0
19,140975,14435,24,345,4,0
23,116601,180150,6,845,3,0
59,127512,56293,6,377,3,0
21,167443,83781,12,372,4,0
46,131472,196475,24,548,1,0
35,153121,165196,24,346,2,0
43,182688,231507,6,420,2,0
61,123727,244833,6,513,2,1
51,132893,257377,12,538,3,0
27,40932,171319,12,355,3,0
53,137796,126172,24,649,1,1
31,49855,64101,36,406,2,0
48,194088,293790,24,347,2,1
32,27400,28049,6,636,4,0
25,137858,215677,24,325,3,0
31,193714,73385,36,556,2,0
40,35151,131131,12,307,5,0
57,86690,201489,36,552,1,0
38,24499,28289,36,602,5,0
33,26295,276967,36,355,5,0
62,140885,196232,12,825,1,0
35,146071,14540,36,773,5,0
64,79040,21364,36,327,2,0
41,32183,32663,36,377,3,0
43,180371,56991,6,515,1,0
42,163946,193751,36,685,4,0
62,136336,167049,12,664,5,0
58,52711,99704,36,825,1,1
46,25539,54115,36,611,0,0
32,199426,224295,12,306,0,1
62,146063,196962,36,302,3,0
18,153629,202459,12,662,2,0
42,58360,154143,36,807,3,1
24,153272,195347,12,573,3,0
26,198047,16938,36,805,3,0
41,41357,9000,36,314,3,1
18,139121,206660,6,491,4,0
61,97505,256492,6,784,4,1
25,22869,43304,36,327,1,0
41,70108,87986,36,338,0,1
28,132296,156836,24,572,3,0
34,114179,113940,12,530,1,0
25,110272,270517,24,385,0,1
52,58467,148233,6,773,5,0
52,43328,102532,6,425,2,1
50,111412,105386,6,836,4,0
22,155059,32350,6,444,5,0
59,78871,98008,36,824,0,0
56,173471,30351,6,511,5,0
58,148391,93668,36,324,2,0
45,197286,119585,36,693,0,1
24,106416,212869,6,366,5,1
26,90271,70953,6,532,4,1
25,64064,287502,12,408,4,0
29,127450,8267,24,445,1,0
51,191890,87745,6,410,5,0
50,196597,162164,12,527,3,0
40,39830,16338,12,410,5,0
41,168501,136484,24,769,0,0
54,157965,12543,36,333,0,0
52,136381,65692,6,668,5,0
61,67333,225156,24,724,2,0
57,154508,228992,6,817,4,0
39,96213,43756,12,581,0,0
44,156967,23888,12,619,4,0
52,170810,171807,36,742,0,1
18,50746,119352,12,614,1,0
52,69377,90999,12,676,3,0
54,199476,22955,24,588,0,0
64,74045,75640,6,736,4,1
31,117888,201582,6,576,1,1
20,190862,224798,24,802,0,1
18,127455,66476,36,815,2,0
22,156672,172280,6,649,3,0
43,113179,156222,12,745,0,0
31,191836,76180,6,649,1,1
56,65714,179358,12,436,2,1
44,122946,117856,36,542,5,0
26,129616,191141,24,842,1,1
32,125983,115448,6,339,1,0
32,144123,19397,24,528,2,0
43,169661,183031,6,847,1,1
59,63484,124180,12,522,2,1
30,102989,71234,24,305,0,0
49,56212,44954,6,621,2,0
56,63525,183352,12,767,2,0
49,198274,84459,24,374,3,0
21,183707,200004,24,303,2,0
47,83208,205968,6,417,2,0
54,53828,64163,6,803,5,1
40,169783,56934,6,740,0,0
56,23420,200967,12,493,3,0
62,116752,10486,6,691,5,0
32,151373,144407,24,325,4,0
60,196308,131020,24,734,0,0
46,135294,107795,6,472,0,0
53,144019,225184,6,599,4,0
30,85726,147202,36,625,2,0
49,161564,242027,24,709,5,1
24,135668,123324,12,417,1,0
39,26102,202775,36,524,3,0
45,138015,294336,6,831,1,0
19,46641,268206,6,412,4,0
59,185656,89076,24,439,0,0
62,183817,94780,6,300,0,0
23,174165,157617,12,389,3,0
45,123746,26689,24,619,0,0
45,56631,278318,6,849,0,0
61,92991,14348,24,438,3,1
61,24014,43102,6,810,5,0
37,31093,79460,6,558,5,0
47,38070,94930,6,309,3,0
28,55777,11801,12,560,4,0
45,76958,108150,12,471,0,1
42,102074,208339,24,312,0,0
56,30729,184208,6,467,4,0
50,196089,159697,6,620,5,0
18,178823,218945,12,618,2,0
44,125864,236915,6,628,2,0
30,150858,208664,12,849,2,1
58,125510,213124,6,718,5,0
20,74748,6542,24,394,5,0
56,25801,288821,6,617,4,1
23,170262,182804,6,535,0,0
25,49592,186415,36,633,4,0
44,30647,44081,12,675,4,0
26,159788,198928,6,758,5,1
54,130627,224930,6,436,2,0
50,90316,286209,36,846,1,0
59,22368,219532,36,812,0,0
61,97575,93092,12,595,5,0
41,26655,294106,36,619,2,0
32,90031,33295,24,648,1,0
49,107922,18807,36,528,1,0
49,144046,162504,24,569,5,0
41,164475,243067,12,590,3,0
58,52097,173152,12,464,0,0
29,162038,171981,12,304,1,0
