transaction_id,amount,transaction_type,merchant_category,is_fraud
1,122058,mpesa_buygoods,transport,0
2,146967,mpesa_send,peer_to_peer,1
3,132032,mpesa_buygoods,peer_to_peer,0
4,103794,mpesa_send,food,1
5,119979,mpesa_buygoods,transport,0
6,110368,mpesa_paybill,utilities,0
7,207992,mpesa_send,peer_to_peer,1
8,54986,mpesa_paybill,utilities,0
9,137437,mpesa_paybill,peer_to_peer,1
10,213558,mpesa_buygoods,peer_to_peer,1
11,168366,mpesa_send,peer_to_peer,1
12,87598,mpesa_send,transport,1
13,112827,mpesa_paybill,retail,0
14,126424,mpesa_buygoods,utilities,0
15,175303,mpesa_send,transport,1
16,191435,mpesa_send,transport,1
17,16123,mpesa_buygoods,transport,0
18,41190,mpesa_send,transport,0
19,67321,mpesa_paybill,transport,0
20,64920,mpesa_buygoods,food,0
21,869,mpesa_paybill,utilities,0
22,59835,mpesa_paybill,transport,0
23,194127,mpesa_send,utilities,1
24,65025,mpesa_paybill,food,0
25,199141,mpesa_paybill,food,0
26,5411,mpesa_send,utilities,1
27,103455,mpesa_send,peer_to_peer,0
28,235896,mpesa_buygoods,retail,0
29,214276,mpesa_paybill,peer_to_peer,0
30,184879,mpesa_send,peer_to_peer,1
31,85405,mpesa_buygoods,peer_to_peer,0
32,159865,mpesa_buygoods,transport,1
33,203104,mpesa_paybill,food,1
34,224188,mpesa_buygoods,peer_to_peer,0
35,130708,mpesa_send,food,0
36,238142,mpesa_send,utilities,1
37,156830,mpesa_paybill,retail,0
38,84578,mpesa_buygoods,utilities,0
39,122637,mpesa_buygoods,utilities,0
40,149603,mpesa_send,transport,1
41,130623,mpesa_buygoods,retail,0
42,2847,mpesa_buygoods,utilities,0
43,123955,mpesa_buygoods,utilities,0
44,190322,mpesa_paybill,retail,0
45,65825,mpesa_paybill,retail,0
46,130081,mpesa_paybill,utilities,0
47,84754,mpesa_send,retail,1
48,166945,mpesa_buygoods,utilities,0
49,119446,mpesa_buygoods,utilities,1
50,67535,mpesa_send,transport,1
51,56986,mpesa_send,peer_to_peer,1
52,66903,mpesa_send,utilities,1
53,31651,mpesa_send,food,1
54,116316,mpesa_buygoods,peer_to_peer,0
55,11494,mpesa_send,peer_to_peer,0
56,69192,mpesa_send,peer_to_peer,1
57,3990,mpesa_send,transport,0
58,41706,mpesa_send,utilities,1
59,227448,mpesa_send,transport,1
60,211210,mpesa_paybill,utilities,0
61,87413,mpesa_paybill,transport,0
62,141799,mpesa_send,transport,1
63,8892,mpesa_paybill,food,0
64,240031,mpesa_paybill,transport,0
65,239729,mpesa_paybill,retail,1
66,205141,mpesa_send,food,1
67,174173,mpesa_paybill,transport,0
68,207724,mpesa_buygoods,peer_to_peer,0
69,155069,mpesa_send,retail,1
70,68248,mpesa_buygoods,retail,1
71,124343,mpesa_send,retail,1
72,120274,mpesa_send,food,1
73,154655,mpesa_paybill,transport,0
74,124458,mpesa_paybill,transport,0
